time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading,.flag
2023/12/06/18:40:49.574641,19,0,0,,0.1898220280100077,0.6212767032685382,0.3359125269178648,1.8997262131494528,3.7286930977739012,0.0,0.0,0.0,0
2023/12/06/18:40:49.972797,20,0,0,,0.1779689055203257,0.5914683178900612,0.32627735681332176,2.0206351712165254,3.794056097689167,0.0,0.0,0.0,0
2023/12/06/18:40:50.371271,21,0,0,,0.19276087061751662,0.623907731807006,0.3286541671610766,2.1755832484151947,3.859252469632795,0.0,0.0,0.0,0
2023/12/06/18:40:50.770253,22,0,0,,0.2,0.6369616089182231,0.3325023949828895,2.3479881960043696,3.9283578906530714,0.0,0.0,0.0,0
2023/12/06/18:40:51.167811,23,0,0,,0.18923017230335673,0.6096094825688366,0.31892793443859296,2.4969355632694166,3.9879434985908038,0.0,0.0,0.0,0
2023/12/06/18:40:51.565307,24,0,0,,0.1779487305799444,0.5829042572800289,0.3254307504441562,2.621055456334338,4.023368963606026,0.0,0.0,0.0,0
2023/12/06/18:40:51.964174,25,0,0,,0.18423838678033577,0.5998996572251796,0.3438649557784542,2.7565641726408185,4.071177162137955,0.0,0.0,0.0,0
2023/12/06/18:40:52.362317,26,0,0,,0.18966286921698428,0.6074954315956103,0.34098745432128635,2.9048532955176602,4.117001195034226,0.0,0.0,0.0,0
2023/12/06/18:40:52.760461,27,0,0,,0.19669579571414428,0.621901255569666,0.3455812894183209,3.0725100157051015,4.165755982021543,0.0,0.0,0.0,0
2023/12/06/18:40:53.158771,28,0,0,,0.2,0.6925902127640876,0.3581889555934849,3.2112312776599676,4.193196603065051,0.0,0.0,0.0,0
2023/12/06/18:40:53.557407,29,0,0,,0.19853715092540106,0.7029059286986813,0.35817789836077085,3.3316594503355157,4.22991217663471,0.0,0.0,0.0,0
2023/12/06/18:40:53.957160,30,0,0,,0.2,0.6607455586868588,0.3711204498198894,3.471652859831656,4.292811052513437,0.0,0.0,0.0,0
2023/12/06/18:40:54.355147,31,0,0,,0.2,0.6444618846694928,0.3639977445058517,3.6418200991355727,4.348215524553128,0.0,0.0,0.0,0
2023/12/06/18:40:54.753292,32,0,0,,0.2,0.6796351881474787,0.3760121469980537,3.7956869941867057,4.39606297345669,0.0,0.0,0.0,0
2023/12/06/18:40:55.151109,33,0,0,,0.19627651479863198,0.6929982287224087,0.38913266355822235,3.91064772524447,4.4471481357465406,0.0,0.0,0.0,0
2023/12/06/18:40:55.549333,34,0,0,,0.19119914443777622,0.6889450751732309,0.39464659919502,3.982154855084083,4.460904229625156,0.0,0.0,0.0,0
2023/12/06/18:40:55.947062,35,0,0,,0.2,0.6466886646290528,0.36663503709598033,4.136356162916891,4.461292313318376,0.0,0.0,0.0,0
2023/12/06/18:40:56.346623,36,0,0,,0.2,0.6456836986962872,0.3814151577765946,4.2933082342718585,4.5105770025249985,0.0,0.0,0.0,0
2023/12/06/18:40:56.744056,37,0,0,,0.19540831066315115,0.6821898964619625,0.3767407007771565,4.416608113857867,4.571312599875895,0.0,0.0,0.0,0
