time,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading
2023/12/06/18:41:17.448673,"(11.163945524876793,)","(0.45245013311879906,)","(0.3472041670695791,)","(11.163945524876793,)","(7.0855332842648515,)",0.0,0.0,0.0
2023/12/06/18:41:17.846816,"(11.264687420860977,)","(0.4059945832670985,)","(0.3300985508548851,)","(11.264687420860977,)","(7.131906434659049,)",0.0,0.0,0.0
2023/12/06/18:41:18.246585,"(11.355377375681513,)","(0.3714191789841388,)","(0.3374588141650812,)","(11.355377375681513,)","(7.164591823895509,)",0.0,0.0,0.0
2023/12/06/18:41:18.644350,"(11.461398685867596,)","(0.4068653291964012,)","(0.33751749647931184,)","(11.461398685867596,)","(7.194664949087897,)",0.0,0.0,0.0
2023/12/06/18:41:19.042923,"(11.587830433817407,)","(0.4602340611111182,)","(0.35067788595230037,)","(11.587830433817407,)","(7.238701659400995,)",0.0,0.0,0.0
2023/12/06/18:41:19.442050,"(11.71032092364386,)","(0.38581382152267424,)","(0.3427531263839583,)","(11.71032092364386,)","(7.2846159989235675,)",0.0,0.0,0.0
2023/12/06/18:41:19.839864,"(11.839140439205947,)","(0.4311384169443227,)","(0.3211182828536382,)","(11.839140439205947,)","(7.338059178238615,)",0.0,0.0,0.0
2023/12/06/18:41:20.237683,"(11.959779435497135,)","(0.4220095472910785,)","(0.30095042460243737,)","(11.959779435497135,)","(7.395143781705642,)",0.0,0.0,0.0
2023/12/06/18:41:20.635275,"(12.00887672523339,)","(0.3552564234645896,)","(0.33459586016292037,)","(12.00887672523339,)","(7.400726162734872,)",0.0,0.0,0.0
2023/12/06/18:41:21.034422,"(12.135087504174413,)","(0.2963470622476035,)","(0.39077812792607935,)","(12.135087504174413,)","(7.379225753177779,)",0.0,0.0,0.0
2023/12/06/18:41:21.431620,"(12.20241075822375,)","(0.1940561650927954,)","(0.34157964526179174,)","(12.20241075822375,)","(7.353875839446101,)",0.0,0.0,0.0
2023/12/06/18:41:21.830740,"(12.267283329515406,)","(0.07651666349393273,)","(0.23447848962432163,)","(12.267283329515406,)","(7.302174456449425,)",0.0,0.0,0.0
2023/12/06/18:41:22.228702,"(12.316281520876121,)","(0.2577566119895034,)","(0.28315883847506834,)","(12.316281520876121,)","(7.299021051816447,)",0.0,0.0,0.0
2023/12/06/18:41:22.626277,"(12.389492380825851,)","(0.20994619760027378,)","(0.24395990864651215,)","(12.389492380825851,)","(7.307685611116099,)",0.0,0.0,0.0
2023/12/06/18:41:23.023639,"(12.434961925318017,)","(0.10205625092460853,)","(0.22006770504343595,)","(12.434961925318017,)","(7.3263358959706615,)",0.0,0.0,0.0
2023/12/06/18:41:23.422265,"(12.504610406987085,)","(0.3624358094608218,)","(0.2719790826926862,)","(12.504610406987085,)","(7.358910688694759,)",0.0,0.0,0.0
